"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"222";"Sargento Aldea (Páramo)";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;29;2,76592601;19393,004744785;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"223";"Sol Y Tierra";"Valparaíso";"Marga Marga";"Villa Alemana";"05";"058";5804;19;1,40767303;9862,932104115;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"224";"Quebrada Cabriteria";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;11;0,36796642;2579,434092785;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"225";"Altos De Placilla";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;250;9,32288745;65266,49575415;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"226";"Santa María";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;9;0,13011469;912,27759895;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"227";"Sin Nombre 2021 - Valpo";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;9;0,44946668;3151,281982265;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"228";"Mirador Los Pinos II";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;65;6,84367547;48050,989831145;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"229";"Mirador Los Pinos I";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;41;3,63760108;25539,48375408;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"230";"Villa Patria";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;17;15,16115533;106380,417298;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"231";"Chile Despertó";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;36;4,1037254;28792,39054294;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"232";"26 De Noviembre";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;57;3,84230358;26959,87897009;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"233";"Los 28";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;17;0,67225912;4716,388743165;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"234";"Comité Marichiweu (Sar Miraflores)";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;19;0,78607012;5514,723377105;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"235";"Calle Agua Potable";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;23;1,23630023;8668,428214455;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"236";"Cumbres De Cuarzo";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;26;1,55243569;10893,307353655;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"237";"Copa De Agua";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;38;1,9291819;13517,51307615;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"238";"Tierras Rojas";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;9;0,76089153;5333,923235235;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"239";"Aguas Saladas";"Valparaíso";"San Antonio";"San Antonio";"05";"056";5601;688;45,05568371;312230,249048205;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"240";"Alto Mirador";"Valparaíso";"San Antonio";"San Antonio";"05";"056";5601;560;47,70664344;330472,68131248;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"241";"Centinela - San Antonio";"Valparaíso";"San Antonio";"San Antonio";"05";"056";5601;833;111,04722362;769405,53644048;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"242";"Fuerza Guerrera";"Valparaíso";"San Antonio";"Cartagena";"05";"056";5603;342;16,49286802;114298,37082194;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"243";"Nápoles";"Valparaíso";"San Antonio";"San Antonio";"05";"056";5601;10;0,25541429;1768,68922817;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
