"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"312";"Carrera Norte Laja";"Biobío";"Biobío";"Laja";"08";"083";8304;53;4,39026501;27799,0364079;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"313";"Cruce Norte";"Biobío";"Arauco";"Arauco";"08";"082";8202;33;3,31554091;21024,209661515;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"314";"Las Rocas";"Biobío";"Arauco";"Arauco";"08";"082";8202;15;0,94124946;5982,40783194;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"315";"El Triangulo";"Biobío";"Arauco";"Lebu";"08";"082";8201;29;2,63612234;16555,213825005;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"316";"Los Filtros";"Biobío";"Arauco";"Lebu";"08";"082";8201;54;4,67161714;29358,384989535;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"317";"Pehuén";"Biobío";"Arauco";"Lebu";"08";"082";8201;75;15,53637432;97484,83263502;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"318";"La Cueva";"Biobío";"Concepción";"Penco";"08";"081";8107;24;0,83533478;5370,59862673;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"319";"El Vagón";"Biobío";"Concepción";"Penco";"08";"081";8107;40;0,68926294;4423,08594013;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"320";"Faja Galvarino";"Biobío";"Arauco";"Los Alamos";"08";"082";8206;83;6,7531081;42411,788568615;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"321";"Ricardo Lagos";"Biobío";"Arauco";"Curanilahue";"08";"082";8205;267;12,76533075;80506,18562658;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"322";"Villa Los Aromos";"Biobío";"Concepción";"Lota";"08";"081";8106;89;4,97454827;31675,6571934;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"323";"Villa Inés Hurtado";"Biobío";"Concepción";"Lota";"08";"081";8106;89;9,43205182;60070,59673553;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"324";"Raúl Silva Henriquez";"Biobío";"Concepción";"Lota";"08";"081";8106;67;2,73317345;17408,18100609;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"325";"El Treból";"Biobío";"Concepción";"Lota";"08";"081";8106;41;2,08343713;13270,074968535;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"326";"La Vega";"Biobío";"Concepción";"Lota";"08";"081";8106;77;5,15139733;32814,72210414;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"327";"Villa Las Araucarias";"Biobío";"Concepción";"Lota";"08";"081";8106;80;2,97337347;18934,90392796;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"328";"Fuerte Viejo";"Biobío";"Concepción";"Lota";"08";"081";8106;113;5,85285742;37254,74739266;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"329";"Villa Ilusión";"Biobío";"Concepción";"Lota";"08";"081";8106;174;8,9892229;57249,07604217;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"330";"Villa Ricardo Lagos";"Biobío";"Concepción";"Lota";"08";"081";8106;41;2,19601758;13986,38325873;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"331";"Villa Jericó";"Biobío";"Concepción";"Lota";"08";"081";8106;151;8,01225812;51035,019264495;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"332";"Las Estrellas";"Biobío";"Concepción";"Lota";"08";"081";8106;56;1,42063369;9047,54360661;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"333";"Línea Férrea Colcura";"Biobío";"Concepción";"Lota";"08";"081";8106;25;7,15778822;45551,992849775;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"334";"Punta Astorga";"Biobío";"Concepción";"Lota";"08";"081";8106;70;2,56355788;16319,27531165;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"335";"Roble Huacho";"Biobío";"Concepción";"Lota";"08";"081";8106;28;1,13362833;7216,820435965;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"336";"Monte Los Olivos";"Biobío";"Concepción";"Lota";"08";"081";8106;69;2,6226592;16701,79782551;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"337";"Villa El Estanque";"Biobío";"Concepción";"Lota";"08";"081";8106;112;6,6943672;42631,94177498;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"338";"Mata Al Cerro";"Biobío";"Concepción";"Lota";"08";"081";8106;21;1,28950091;8208,809991435;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"339";"Fresia";"Biobío";"Concepción";"Lota";"08";"081";8106;120;3,98372674;25370,398055495;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"340";"El Peral";"Biobío";"Concepción";"Lota";"08";"081";8106;36;2,20613307;14053,708578345;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"341";"Tiro Al Blanco";"Biobío";"Concepción";"Lota";"08";"081";8106;72;4,28948952;27317,29632731;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"342";"Puerto Nuevo";"Biobío";"Concepción";"Lota";"08";"081";8106;76;3,51364721;22365,82527252;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"343";"Escuela Vieja Colcura";"Biobío";"Concepción";"Lota";"08";"081";8106;111;8,38106272;53343,92544025;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"344";"La Fabrica";"Biobío";"Concepción";"Lota";"08";"081";8106;38;2,33472547;14871,55297232;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"345";"Psje. 1 Cerro El Santo";"Biobío";"Concepción";"Tomé";"08";"081";8111;32;1,20580039;7771,17969321;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"346";"Las Camelias";"Biobío";"Concepción";"Tomé";"08";"081";8111;10;0,68299751;4401,794807365;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"347";"Pasaje Guajardo";"Biobío";"Concepción";"Tomé";"08";"081";8111;20;1,33642763;8610,757287865;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"348";"Los Esteros";"Biobío";"Concepción";"Tomé";"08";"081";8111;37;8,4007744;54158,442276925;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"349";"Los Castaños";"Biobío";"Concepción";"Tomé";"08";"081";8111;18;1,0519658;6779,93577994;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"350";"Las Vertientes";"Biobío";"Concepción";"Tomé";"08";"081";8111;19;1,03933638;6693,82400995;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"351";"Estación - Caleta Quichiuto";"Biobío";"Concepción";"Tomé";"08";"081";8111;42;2,14859646;13844,248429525;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"352";"Llacolén";"Biobío";"Concepción";"Tomé";"08";"081";8111;15;0,71749663;4624,794165065;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"353";"El Túnel";"Biobío";"Concepción";"Tomé";"08";"081";8111;29;1,27620409;8239,05240233;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"354";"Madesal";"Biobío";"Concepción";"Tomé";"08";"081";8111;63;2,8999311;18713,405391855;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"355";"Caleta Perone";"Biobío";"Concepción";"Hualpén";"08";"081";8112;21;1,05847462;6798,369817885;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"356";"21 De Mayo Prat";"Biobío";"Concepción";"Concepción";"08";"081";8101;36;0,84551867;5421,74183611;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"357";"Temístocles Rojas";"Biobío";"Concepción";"Concepción";"08";"081";8101;53;2,03191953;13026,95486421;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"358";"Andres Lamas Pulmón Verde";"Biobío";"Concepción";"Concepción";"08";"081";8101;61;1,82938802;11728,863267505;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"359";"Cantarrana";"Biobío";"Concepción";"Coronel";"08";"081";8102;125;5,52896375;35266,101578135;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"360";"Vista Al Mar";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;120;4,13672963;26593,16470056;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"361";"Los Picunches";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;26;0,89884923;5778,946492195;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"362";"Las Gaviotas Bajo";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;50;1,86831885;12012,49383347;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"363";"Comité Pro Adelanto Polcura";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;15;0,45855433;2948,444870385;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"364";"Huillinco";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;37;3,79246129;24383,905562315;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"365";"Caramavida";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;13;0,72771887;4677,936345265;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"366";"Antinao Curaco";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;58;5,01334978;32232,794642835;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"367";"Comité Adelanto Pasaje 1 La Gloria";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;49;2,28115953;14665,370870785;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"368";"Vista La Bahía";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;16;1,69466561;10894,164071085;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"369";"Comité Las Hormiguitas Asentamiento La Esperanza";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;46;3,39872222;21849,501144345;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"370";"Coliumo Alto";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;93;4,20843174;27060,818663995;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"371";"La Unión";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;85;4,70039772;30218,456935335;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"372";"Las Algas";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;105;2,30306855;14807,63081644;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"373";"Cerro Bagnara";"Biobío";"Concepción";"Talcahuano";"08";"081";8110;76;0,76867587;4942,883574035;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"374";"Sector Cuiñibal";"Biobío";"Biobío";"Los Angeles";"08";"083";8301;41;11,34305664;71296,80372532;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"375";"Canchas Las Violetas";"Biobío";"Biobío";"Los Angeles";"08";"083";8301;11;5,40759412;34055,28980701;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"376";"Pueblo Hundido";"Biobío";"Biobío";"Alto Biobío";"08";"083";8314;13;0,69353562;4314,59126146;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"377";"Sector Pangue";"Biobío";"Biobío";"Alto Biobío";"08";"083";8314;10;2,80355738;17438,031345845;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"378";"La Pera";"Biobío";"Biobío";"Tucapel";"08";"083";8312;19;5,0015881;31616,88040911;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"379";"Villa Coigue";"Biobío";"Biobío";"Negrete";"08";"083";8307;14;0,81492606;5121,241997565;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"380";"La Esperanza Negrete";"Biobío";"Biobío";"Negrete";"08";"083";8307;11;1,37607612;8631,880287145;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"381";"Puente Calderones Santa Barbara";"Biobío";"Biobío";"Santa Bárbara";"08";"083";8311;8;6,10811227;38328,92014931;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"382";"Cruzada Sur";"La Araucanía";"Cautín";"Freire";"09";"091";9105;9;1,47837642;8962,758269985;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"383";"Reigolil";"La Araucanía";"Cautín";"Curarrehue";"09";"091";9104;18;3,08919689;18576,120497705;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"384";"La Ribera";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;33;4,14740876;25224,861763395;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"385";"Estrella Del Amanecer";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;46;1,02750556;8993,00524982;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"386";"Jesús De Nazareth";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;292;5,7008314;49894,124722425;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"387";"Nueva Esperanza, La Greda";"Biobío";"Concepción";"Penco";"08";"081";8107;18;0,26808687;1722,76224763;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"388";"San Lorenzo";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;259;4,06856847;35608,74959931;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"389";"Ampliación Pichi Cautín";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;32;1,4714483;8951,919534605;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"390";"Villa El Jazmín";"Biobío";"Concepción";"Penco";"08";"081";8107;26;0,82175813;5275,712644935;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"391";"San Expedito I y II";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;81;1,3725701;12012,99975656;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"392";"Estadio";"Biobío";"Arauco";"Contulmo";"08";"082";8204;9;0,79360818;4931,750912395;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"393";"Comité Integración";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;73;2,01678484;17651,92954149;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"394";"El Peral";"Biobío";"Arauco";"Contulmo";"08";"082";8204;15;0,29690172;1844,089929265;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"395";"Antumapu";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;30;0,64810434;3941,75226008;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"396";"Independientes Unidos";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;89;1,4388136;12593,366247355;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"397";"Unidos Por Un Sueño";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;12;0,71354257;4339,379018385;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"398";"Latinos Unidos";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;41;0,8983819;7863,22892049;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"399";"Laguna Cerro Verde I";"Biobío";"Arauco";"Curanilahue";"08";"082";8205;8;1,49574131;9431,829339495;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"400";"Los Sin Casa";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;16;1,50837276;9179,663799575;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"401";"El Pueblo";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;95;1,54778612;13547,42970976;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"402";"El Esfuerzo Porvenir";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;27;0,54525748;3319,73674788;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"403";"Laguna Cerro Verde II";"Biobío";"Arauco";"Curanilahue";"08";"082";8205;15;3,8489027;24269,319065225;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"404";"Saturno";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;42;0,66594623;5828,76520307;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"405";"Chivilcan 3";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;34;0,86665653;5275,88351609;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"406";"Miraflores La Esperanza";"Biobío";"Arauco";"Curanilahue";"08";"082";8205;34;7,81118697;49234,771995225;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"407";"Monserrat";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;85;1,3885924;12153,807604955;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"408";"Sueño De Todos";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;19;0,83483289;5082,739437095;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"409";"Los Pumas";"Biobío";"Arauco";"Curanilahue";"08";"082";8205;8;0,36385298;2293,852869845;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"410";"Juventud De Esfuerzo";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;83;1,4412787;12614,855922415;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"411";"La Fe De Chile";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;29;1,21551904;7401,33629106;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"412";"Temuco Chico";"Biobío";"Arauco";"Los Alamos";"08";"082";8206;51;7,11884421;44664,868561215;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"413";"Nueva Esperanza I";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;66;2,81906491;24674,49984622;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"414";"Surire";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;17;0,50900802;3099,591667905;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"415";"21 De Mayo";"Biobío";"Arauco";"Los Alamos";"08";"082";8206;16;3,57349675;22445,0180669;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"416";"Triangulo De Chivilcán";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;104;3,92587075;23903,828151365;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"417";"Unión, Fuerza Y Esperanza";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;328;5,63091474;49285,70879827;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"418";"Los Cipreses";"Biobío";"Arauco";"Los Alamos";"08";"082";8206;47;3,61041632;22680,592246275;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"419";"Nuestro Sueño";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;40;4,22802189;37006,8019075;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2019"
"420";"Pilmaiquén";"Biobío";"Arauco";"Los Alamos";"08";"082";8206;53;6,91534207;43365,068899925;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"421";"Ex Vertedero Sur";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;180;4,38126104;38330,98853851;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"422";"Un Futuro Para Daina";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;37;1,47268449;8966,473279845;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"423";"La Iglesia";"Biobío";"Concepción";"Tomé";"08";"081";8111;13;0,39138759;2526,680791875;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"424";"San Martin";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;38;0,99136602;8672,07297223;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"425";"Samaritanos";"Biobío";"Concepción";"Tomé";"08";"081";8111;15;0,37251795;2399,876648205;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"426";"Rio Seco";"Tarapacá";"Iquique";"Iquique";"01";"011";1101;8;9,19890714;79743,01701133;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"427";"Isla Andalien";"Biobío";"Concepción";"Concepción";"08";"081";8101;11;0,10071307;645,891546675;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"428";"El Álamo";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;43;1,89204542;11515,283587755;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"429";"Jesús El Rey";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;136;4,27000086;37371,894321145;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"430";"La Puntilla - Cerro Lo Galindo";"Biobío";"Concepción";"Concepción";"08";"081";8101;87;5,01283791;32160,190821185;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
"431";"Quebrada Seca";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;165;10,59777464;92769,563595115;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"432";"Tañi Ruka";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;11;0,75436438;4589,088679415;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2022"
"433";"Alonso Rivera/Línea Férrea";"Biobío";"Concepción";"Concepción";"08";"081";8101;24;0,4906457;3146,92542531;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2019"
"434";"Los Cisnes";"La Araucanía";"Cautín";"Temuco";"09";"091";9101;8;0,17224563;1048,6409008;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2022"
"435";"Nuevo Vivir";"Tarapacá";"Iquique";"Alto Hospicio";"01";"011";1107;111;2,38242954;20853,638159415;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2022"
"436";"Fray Juan Gallegos";"Biobío";"Concepción";"Concepción";"08";"081";8101;45;1,85905698;11928,730012605;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
