OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1,1,1,510103,Bellavista,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,29,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.51380154,500.62836773,0.00412927928206117,1.02408832116222e-06
2,2,2,510105,Buena Vista,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.67004587,603.11658234,0.00482368526275939,1.12952622392763e-06
3,3,3,510106,Los Fleteros,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,56,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.49148542,959.04502664,0.00786583009427014,1.68506460054388e-06
4,4,4,510107,Pueblo Hundido,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,65,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.60232297,1360.41009218,0.0113128338178559,3.11262275893877e-06
5,5,5,510108,Villa Italia Turín,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,33,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.86734704,447.88345173,0.00369489399440954,5.86659463563749e-07
6,6,6,510109,Nueva Esperanza,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.39939961,340.83318056,0.00284870752148783,2.70211889149723e-07
7,7,7,510110,Francisco Vergara,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,24,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.84686062,1325.75715048,0.0107472100433487,1.925353618833e-06
8,8,8,510111,Manuel Rodríguez,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.44280142,352.74923035,0.00291342345998526,2.99435676179735e-07
9,9,9,510112,Sofia 35,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,69,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.68439035,1605.3487159,0.0132571862711292,1.81558041880599e-06
10,10,10,580401,Las Viñas De Irene Frei,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.24114963,834.72454965,0.00636664145645676,8.39719965759401e-07
11,11,11,580402,Lomas De Bellavista,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,42,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.96877401,960.05018555,0.00764781130979871,2.68389852712534e-06
12,12,12,580403,Manzana 33,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,37,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.185613,601.50046615,0.00488530005465534,1.47818395489312e-06
13,13,13,580404,Ampliación Prat-Lomas De Peñablanca,Valparaíso,05,Marga Marga,058,5804,Villa Alemana,CATASTRO_2011,146,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,15.07016805,2170.66297481,0.0173937517180841,1.0192281845739e-05
14,14,14,510911,Los Artesanos,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,35,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.0015937,787.92989194,0.0065587640438047,1.35393894555228e-06
15,15,15,510912,La Unión - Elías Lafferte,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,20,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.32627982,586.76833169,0.00494027557716621,8.97110663492798e-07
16,16,16,510116,John Kennedy,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,48,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.85755347,681.23814202,0.005884053286659,5.80094868301049e-07
17,17,17,510117,Pezoa Veliz,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.19421607,309.254174,0.00269941838024345,1.31355156496498e-07
18,18,18,510118,Violeta Parra,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,123,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,10.69814119,1451.80428099,0.0118114346646019,7.23541881437803e-06
19,19,19,510175,Cristo Redentor,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,53,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.86193213,854.19965884,0.0069271655032879,5.82912822941775e-07
20,20,20,510916,Loma Vista Al Mar,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,47,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.19000035,932.58656059,0.00775948217349745,8.04985236386671e-07
21,21,21,510918,La Isla,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.99365228,1018.85962224,0.00842399642227398,1.34912189432551e-06
22,22,22,510121,Mesana Alto,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,128,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,14.53569819,3256.24569912,0.0261873588219493,9.83026375733865e-06
23,23,23,510919,El Palto- Juan Luis Trejo,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.94819777,793.10971207,0.00663740344662691,6.41661785065527e-07
24,24,24,550101,Cousiño San Pedro,Valparaíso,05,Quillota,055,5501,Quillota,CATASTRO_2011,25,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.9994712,914.88710264,0.00786206294284542,6.7688310135218e-07
25,25,25,510122,Pampa Ilusión (Sector Las Torres),Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,195,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,7.03520155,2205.60659001,0.017558044602447,4.75733334617655e-06
26,26,26,510123,Sin Nombre 9,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.84604247,542.5398838,0.00455650232229353,5.72194181207267e-07
27,27,27,510920,Parcela 11,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,520,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,43.98216031,3254.40128721,0.0268745322152773,2.9744726548676e-05
28,28,28,510124,Sin Nombre 14,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.51420469,1074.44220356,0.00892015384440959,1.70019037100454e-06
29,29,29,510125,Sin Nombre 10,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,35,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.6531545,942.95157654,0.00762238600176124,1.79416693091784e-06
30,30,30,510126,La Ilusión,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.16438248,966.76706976,0.00822490171325121,7.87580466324642e-07
31,31,31,510995,Parcela 15,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,257,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,15.42032031,2791.53473247,0.0221165342682129,1.04304173519468e-05
32,32,32,510127,Ampliación Viento Sur,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,8,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.21667777,250.68493858,0.00203946589430573,1.465926504346e-07
33,33,33,510128,La Tortuga,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,35,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.15259562,1057.96249988,0.00872733462004607,7.79775570023896e-07
34,34,34,510129,Sin Nombre 15,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,26,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.87627247,997.34798242,0.00837811798271274,5.92675624646903e-07
35,35,35,510130,Sin Nombre 13,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.47516468,726.37133821,0.00640222561900576,3.21383752993251e-07
36,36,36,510131,Progreso En La Comunidad,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,39,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.01257872,972.86182172,0.00820519830544892,2.03785860142935e-06
37,37,37,510132,Colocolo,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,26,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.72454122,671.04262433,0.00569117522969967,4.90047774667401e-07
38,38,38,510133,Vista Al Mar,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,52,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.23623001,966.02301881,0.00789878902147691,2.1891083921974e-06
39,39,39,510134,Simón Bolívar,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,31,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.28401456,810.57902273,0.00662817820561729,8.68518392130799e-07
40,40,40,510135,Viena 15,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,30,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.2634957,937.36821074,0.00770066378482817,1.53097581738546e-06
41,41,41,510136,Campanillas,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,98,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,6.18896126,1302.2530423,0.0105555128484617,4.18614827642402e-06
42,42,42,510137,La Frontera,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.61760806,415.81185241,0.00335843089528414,4.17754305005778e-07
43,43,43,510138,Tiro Al Blanco,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,18,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.28158597,735.8540378,0.00601141374427619,1.54311352383774e-06
44,44,44,510139,Nueva Esperanza 2,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.62774056,556.5789022,0.00444347390947496,4.24549941348538e-07
45,45,45,510140,Gran Futuro,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,25,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.0600717,1106.86244776,0.00923844314672108,2.06951921829675e-06
46,46,46,510141,Los Eucaliptus,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,16,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.56314689,330.83946101,0.00280818948490865,3.80833875980875e-07
47,47,47,510142,Hernan Mery,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,42,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.03422381,1362.21710836,0.0109992966999947,2.05181735513268e-06
48,48,48,510143,La Isla,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,116,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.51166884,2640.33923396,0.0216817217971824,3.05069750612487e-06
49,49,49,510144,Sin Nombre 17 - El Pimentón,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,11,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.13947953,175.79829011,0.00149269447184395,9.43420655542678e-08
50,50,50,510145,Pasaje Lorena,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,34,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,5.64498801,1548.79351984,0.0126169839895884,3.81799003489614e-06
51,51,51,510146,Las Alondras,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,27,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.97597326,536.0853143,0.00433315620703098,6.60109929176352e-07
52,52,52,510147,Área Verde,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,33,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.43328113,1125.36330539,0.00963073177137185,9.69477884365475e-07
53,53,53,510922,Nueva Aurora,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,91,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,7.46810697,1540.00810382,0.0126095842705348,5.0516461440256e-06
54,54,54,540201,La Cantera,Valparaíso,05,Petorca,054,5402,Cabildo,CATASTRO_2011,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.08245541,796.68645919,0.00666115303967433,1.41828440051379e-06
55,55,55,510923,Bajo Gustavo Lorca,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.43326372,638.60727037,0.00545100104201631,9.6958059983663e-07
56,56,56,510924,Las Chilcas,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,5.21050042,1182.7193235,0.00957261583882169,3.52479521580258e-06
57,57,57,510501,"El Bosque, Loncura",Valparaíso,05,Valparaíso,051,5105,Puchuncaví,CATASTRO_2011,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.70564755,419.11593346,0.00352987466928019,4.78943416771485e-07
58,58,58,510927,Valle El Dorado,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,107,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,4.04447823,1254.4138274,0.0102380289511936,2.73623125312618e-06
59,59,59,510928,Monte Sinaí,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,266,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,15.36682721,1794.17817182,0.0146354582224824,1.03963716714128e-05
60,60,60,510930,Manuel Bustos,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,1647,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,90.19148318,7236.27310057,0.0601109500098818,6.10271327326515e-05
61,61,61,510972,Amanecer,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,63,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.24344437,645.87040872,0.00541034695383203,1.51814308007e-06
62,62,62,550201,Final Pedro De Valdivia,Valparaíso,05,Quillota,055,5502,Calera,CATASTRO_2011,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.40681852,312.9910974,0.00257355715300856,2.76005973367864e-07
63,63,63,510931,Reñaca Alto,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,663,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,39.12023665,4715.79929673,0.0386119855618809,2.64746085615761e-05
64,64,64,510973,Los Almendros,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2011,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.68997067,569.73852779,0.00476785132983149,4.66869857808681e-07
65,65,65,510181,Simpson,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.09776306,1083.56815923,0.00892810056383636,7.42524188953496e-07
66,66,66,510183,Pasaje Las Torres,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2011,30,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.17464332,740.22990927,0.00610052110168339,7.94466738773554e-07
67,67,67,510101,"Quebrada La Fábrica (Ex Lancheros Del Bongo, Sector 3)",Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.79713052,864.38160863,0.00725177379550671,1.89181996855346e-06
68,68,68,510901,Villa Canchita,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,13,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.3336702,236.17896027,0.00196041698126949,2.25841740736233e-07
69,69,69,510902,Santa Juana,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.37238832,296.49414773,0.00236628998164284,2.52067146435391e-07
70,70,70,510903,Amanecer II,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.75307997,404.56718728,0.00337966613510447,5.09710868592131e-07
71,71,71,510904,Sector Gimnasio,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,10,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.14639087,256.5340054,0.00201569815962218,9.90819899065038e-08
72,72,72,510905,El Comienzo,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.42001311,280.21806753,0.00232419510603663,2.84280201265012e-07
73,73,73,510906,El Esfuerzo,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,10,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.11252602,721.87060959,0.00595043104228363,7.52734227421458e-07
74,74,74,510907,El Legado,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.11571852,699.72848072,0.00577783609148409,7.55066930916134e-07
75,75,75,510991,Madre Tierra,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,73,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.31151688,897.38718873,0.00710006444292432,1.5642985959927e-06
76,76,76,510908,Mirador Las Palmas,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.17558524,185.63396264,0.0015792299522326,1.1876700228894e-07
77,77,77,510197,Hijos De Placilla,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,88,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.45193416,1110.81032973,0.00931931663478022,3.00925275447096e-06
78,78,78,510113,El Esfuerzo De Placilla II,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,18,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.54834749,481.02518008,0.0040649546181399,3.70652788667975e-07
79,79,79,510909,Calle Colo-Colo,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,14,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.68443357,422.7386122,0.00335559607975463,4.63002127231604e-07
80,80,80,510910,Jose Ignacio Centena,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,16,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.72602024,524.70139087,0.0042903255553986,4.91138995550214e-07
81,81,81,510992,Esperanza 2011,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,84,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.99363338,952.84728089,0.00776266876887493,2.02468723095493e-06
82,82,82,510913,Generación 2012,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,19,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.06770662,615.18149593,0.00509245880680204,7.22226114027265e-07
83,83,83,510115,Lomas Frente Al Mar,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,29,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,5.33859866,1426.20963232,0.0117786188697206,3.61156848922787e-06
84,84,84,510914,Farkas,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,68,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.35473462,1316.70889716,0.0105351895264661,1.59270905441653e-06
85,85,85,510915,La Fe,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,58,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.62857157,888.25524649,0.00748371382584867,1.77798558576782e-06
86,86,86,510119,Nuevo Amanecer,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,47,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.68383319,1515.67121253,0.0125165649248695,2.49130132949167e-06
87,87,87,510917,Parcela 15-2 (F. Camiroaga),Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,190,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,13.49676865,1915.92998406,0.0150962916489593,9.12886034880345e-06
88,88,88,510120,Florida,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,17,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,8.88344422,1858.30482653,0.015274074128512,6.00795396146579e-06
89,89,89,510921,Familia Unida De Reñaca Alto,Valparaíso,05,Valparaíso,051,5109,Viña del Mar,CATASTRO_2019,29,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.55830068,303.74654262,0.00254492474941126,3.77881493275595e-07
90,90,90,550102,Rotonda San Isidro,Valparaíso,05,Quillota,055,5501,Quillota,CATASTRO_2019,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.4824249,485.09440069,0.00394050750128324,1.00440545888303e-06
91,91,401,830401,Chacabuco Laja,Biobío,08,Biobío,083,8304,Laja,CATASTRO_2019,27,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.06190852,101.12276367,0.000804429254190018,3.97545379039725e-08
92,92,91,510701,Unión Y Esperanza,Valparaíso,05,Valparaíso,051,5107,Quintero,CATASTRO_2019,28,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.6952105,554.13698601,0.00449264931048891,1.15000474962327e-06
93,93,92,510702,Nuevo Sol (Cerro Centinela),Valparaíso,05,Valparaíso,051,5107,Quintero,CATASTRO_2019,102,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,19.19782405,1897.56789002,0.0162251845880458,1.30224649488481e-05
94,94,93,510703,Lomas Del Bosque,Valparaíso,05,Valparaíso,051,5107,Quintero,CATASTRO_2019,30,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.70808133,1277.52287817,0.0107916504081127,2.51542322272347e-06
95,95,94,550202,Padre Alberto Hurtado,Valparaíso,05,Quillota,055,5502,Calera,CATASTRO_2019,16,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.1850043,437.07748646,0.0036140041536619,8.03833810707101e-07
96,96,95,510148,San Francisco,Valparaíso,05,Valparaíso,051,5101,Valparaíso,CATASTRO_2019,19,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.1028428,543.26810212,0.00453471812765833,7.45927303295224e-07
97,97,96,560401,Punta De Tralca,Valparaíso,05,San Antonio,056,5604,El Quisco,CATASTRO_2019,26,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.99755014,628.64947824,0.00515353204902676,1.34522102466239e-06
98,98,97,560101,Pasaje Bita,Valparaíso,05,San Antonio,056,5601,San Antonio,CATASTRO_2019,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.26900232,757.12302948,0.00610830301168659,8.5324050160945e-07
99,99,98,560103,Bello Horizonte Sur,Valparaíso,05,San Antonio,056,5601,San Antonio,CATASTRO_2019,15,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.84283465,433.93493997,0.00349038485901237,5.66685278375664e-07
100,100,99,560104,Los Tigres,Valparaíso,05,San Antonio,056,5601,San Antonio,CATASTRO_2019,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.19887802,220.62762147,0.00174701848663606,1.33651276002381e-07
