OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1167,1167,744,1630504,Puente Ñuble 3,Ñuble,16,Punilla,163,16305,San Nicolás,CATASTRO_2022,11,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.39782783,394.83957457,0.00298287884449986,2.57914175168065e-07
1168,1168,1135,210143,Fuerza Esmeralda,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,16,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.16777159,165.73842853,0.00143168204530897,1.2399945097223e-07
1169,1169,745,1610205,Nueva Aurora,Ñuble,16,Diguillín,161,16102,Bulnes, ,0,TECHO,NUEVO CAMPAMENTO,0.51052842,315.00654157,0.00247624942428048,3.29772854348412e-07
1170,1170,1136,210144,Genesis II,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,210,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.18569095,1337.62624674,0.0112629649070806,3.0949788510688e-06
1171,1171,1137,210145,Genesis I,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.76415334,480.54303432,0.00401208495181405,5.65030308858851e-07
1172,1172,746,1610115,Villa Esperanza,Ñuble,16,Diguillín,161,16101,Chillán, ,74,INE,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,1.53658738,669.41939757,0.00526604418542396,9.95312835672045e-07
1173,1173,1138,210146,Hijos De La Covadonga,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,86,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.5244396,573.36148115,0.00500286518164292,1.12668784750231e-06
1174,1174,1139,210147,Srael,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,73,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.4500338,769.44809802,0.00650652459161175,1.071975507901e-06
1175,1175,748,1630101,Borde Río Ñuble,Ñuble,16,Punilla,163,16301,San Nicolás,CATASTRO_2019,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,3.7945034,1154.66264448,0.00949201134073392,2.45996215223846e-06
1176,1176,1140,210149,La Escuelita,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,50,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.59618513,428.29612614,0.00379753067053118,4.40816208888048e-07
1177,1177,1141,210151,Mirador La Portada,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,76,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,2.33512825,1110.10622864,0.00944698558520413,1.72593719160228e-06
1178,1178,1142,210152,Moisés,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,77,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.51078571,580.6979472,0.00495800267384302,1.11686837890829e-06
1179,1179,1143,210155,Quebrada Riquelme,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,39,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.82729231,475.47340776,0.0040468465383381,6.11518678748466e-07
1180,1180,752,1610118,Víctor Jara,Ñuble,16,Diguillín,161,16101,Chillán, ,8,INE,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.59013358,352.46819231,0.00296618217431378,3.82268190770021e-07
1181,1181,1144,210156,Rene Schneider,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,94,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.9757653,784.12545108,0.0065775326727524,1.46049946387571e-06
1182,1182,753,710207,Áreas Verdes,Maule,07,Talca,071,7102,Constitución,CATASTRO_2011,11,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.82433971,484.97750211,0.00383540893513856,5.42602364896419e-07
1183,1183,1145,210157,Sol Y Luna,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,78,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.89472352,831.07966861,0.00721390974711653,6.61558719554027e-07
1184,1184,754,710402,Avenida Bueras Ex-Línea Férrea,Maule,07,Talca,071,7104,Empedrado,CATASTRO_2011,18,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.54279987,364.32779257,0.00291974488989431,3.5617392797462e-07
1185,1185,1146,210158,Todos Luchando Por Un Sueño,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,25,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.2955818,299.93406215,0.00251145156903455,2.18530745937188e-07
1186,1186,755,720101,Punta De Rieles,Maule,07,Cauquenes,072,7201,Cauquenes,CATASTRO_2019,9,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.39159266,246.55110489,0.00200721785091472,2.55714614165479e-07
1187,1187,1147,210159,Villa Constancia,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,80,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.86442437,437.09931459,0.00371924709833997,6.38887186036001e-07
1188,1188,756,710104,René Schnaider,Maule,07,Talca,071,7101,Talca,CATASTRO_2019,12,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.39917423,434.76282137,0.00341163115956277,2.62513418727708e-07
1189,1189,1148,210160,Vista Hermosa,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2019,350,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,3.7139165,1293.80008185,0.0108278027513103,2.74583534223279e-06
1190,1190,757,740502,Nueva Esperanza,Maule,07,Linares,074,7405,Retiro,CATASTRO_2019,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.26179726,541.61098001,0.00443960202118891,8.22774744330216e-07
1191,1191,163499,220110,Heróes de Saislao 1,Antofagasta,02,El Loa,022,2201,Calama, ,0,INE/TECHO,NUEVO CAMPAMENTO,9.238056,1246.94049579,0.0108255957073614,6.88889006912149e-06
1192,1192,758,740503,Villa Las Estrellas,Maule,07,Linares,074,7405,Retiro,CATASTRO_2019,13,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.19496498,539.08808449,0.00439219793499916,7.79198522834382e-07
